,Pommes,Salade verte,Tomates,Pommes de terre,Carottes,Oignons,Concombres,Lait,Oeufs,Farine,Sucre,Yaourts,Fromage rapé,Fromage,Crème fraiche,Beurre,Pain,Viennoiseries,Poulet,Jambon,Steak Haché,Saucisses,Pâtes,Riz,Lentilles,Huile d'olive,Sel,Eau,Jus de fruits,Café,Céréales,Thé,Thon,Légumes en conserve,Papier toilette,Savon,Dentifrice,Lessive,Liquide vaisselle,Biscuits,Chocolat,Chips,Pizzas,Légumes congelés
Pommes,100,38,35,25,12,12,2,35,24,29,2,39,33,9,8,8,13,21,18,12,25,6,12,15,19,32,9,21,24,3,25,8,4,38,39,33,13,5,28,18,6,2,2,36
Salade verte,34,100,31,34,26,23,39,31,38,36,24,37,4,9,3,14,16,12,33,15,12,22,6,32,4,39,31,9,1,33,29,29,31,4,15,6,35,25,14,3,13,14,29,26
Tomates,36,23,100,29,31,28,32,2,21,18,2,5,2,26,13,21,36,11,17,3,1,4,12,7,37,33,26,35,32,8,36,22,32,36,13,5,1,18,33,35,1,21,17,1
Pommes de terre,4,38,38,100,23,29,34,39,39,11,2,13,12,2,25,21,3,12,36,1,7,2,39,1,27,31,1,29,15,26,26,22,5,34,14,8,3,24,27,2,21,1,26,8
Carottes,28,22,38,22,100,27,37,35,11,27,33,23,22,1,5,36,36,26,14,15,29,36,36,31,26,4,7,36,25,1,5,27,1,7,22,28,26,1,29,1,14,3,26,34
Oignons,27,23,2,15,11,100,39,16,36,26,32,21,23,2,9,29,12,2,26,8,38,38,37,15,2,37,18,39,39,34,12,16,34,13,8,23,38,28,23,5,25,4,6,21
Concombres,35,3,28,38,18,23,100,33,35,37,21,21,32,26,28,32,36,14,16,5,24,2,19,22,12,24,2,2,33,15,6,21,31,9,25,4,3,22,22,26,29,39,21,14
Lait,32,12,18,4,2,39,34,100,17,8,7,37,36,29,35,26,38,3,23,25,17,11,15,31,2,6,3,3,34,28,19,5,2,19,8,18,17,25,26,3,16,25,21,34
Oeufs,27,7,4,26,2,24,38,23,100,26,19,22,38,16,38,36,9,4,5,2,5,28,4,13,34,2,33,12,6,28,26,35,3,32,12,8,3,32,4,17,16,31,14,37
Farine,34,18,3,3,5,36,21,33,13,100,16,1,36,5,13,38,38,14,4,7,18,3,23,23,21,17,25,29,2,4,5,11,22,39,1,7,7,6,17,8,11,3,9,13
Sucre,13,19,13,39,39,21,36,13,7,24,100,21,19,14,25,36,9,11,15,29,23,8,29,25,5,21,37,1,13,9,17,18,23,32,5,26,39,34,15,26,4,13,31,27
Yaourts,33,5,36,21,18,12,2,38,21,18,27,100,23,22,37,39,23,22,2,21,21,32,14,1,7,21,6,37,36,13,2,5,4,5,36,2,6,35,31,2,18,3,7,5
