Ingrédient,Probabilité_liste_courses_%
Pommes,40
Salade verte,35
Tomates,45
Pommes de terre,55
Carottes,40
Oignons,55
Concombres,25
Lait,60
Oeufs,65
Farine,30
Sucre,30
Yaourts,55
Fromage rapé,30
Fromage,40
Crème fraiche,25
Beurre,55
Pain,70
Viennoiseries,15
Poulet,30
Jambon,35
Steak Haché,25
Saucisses,15
Pâtes,60
Riz,40
Lentilles,15
Huile d'olive,40
Sel,70
Eau,65
Jus de fruits,30
Café,35
Céréales,30
Thé,25
Thon,25
Légumes en conserve,20
Papier toilette,75
Savon,65
Dentifrice,65
Lessive,55
Liquide vaisselle,55
Biscuits,35
Chocolat,30
Chips,15
Pizzas,15
Légumes congelés,25
